Running on host cs302.hpc.nyu.edu
Directory is /scratch/yz6994/HPC_finalproj_lbm
Slurm job ID is 33438420
==done==
index = 616, local_density = 0.100000, u_x = 0.000000
index = 617, local_density = 0.100000, u_x = 0.000000
index = 618, local_density = 0.100000, u_x = 0.000000
index = 619, local_density = 0.100000, u_x = 0.000000
index = 620, local_density = 0.100000, u_x = 0.000000
index = 621, local_density = 0.100000, u_x = 0.000000
index = 622, local_density = 0.100000, u_x = 0.000000
index = 623, local_density = 0.100000, u_x = 0.000000
index = 624, local_density = 0.100000, u_x = 0.000000
index = 625, local_density = 0.100000, u_x = 0.000000
index = 626, local_density = 0.100000, u_x = 0.000000
index = 627, local_density = 0.100000, u_x = 0.000000
index = 628, local_density = 0.100000, u_x = 0.000000
index = 629, local_density = 0.100000, u_x = 0.000000
index = 630, local_density = 0.100000, u_x = 0.000000
index = 631, local_density = 0.100000, u_x = 0.000000
index = 632, local_density = 0.100000, u_x = 0.000000
index = 633, local_density = 0.100000, u_x = 0.000000
index = 634, local_density = 0.100000, u_x = 0.000000
index = 635, local_density = 0.100000, u_x = 0.000000
index = 636, local_density = 0.100000, u_x = 0.000000
index = 637, local_density = 0.100000, u_x = 0.000000
index = 638, local_density = 0.100000, u_x = 0.000000
index = 639, local_density = 0.100000, u_x = 0.000000
index = 640, local_density = 0.100000, u_x = 0.000000
index = 641, local_density = 0.100000, u_x = 0.000000
index = 642, local_density = 0.100000, u_x = 0.000000
index = 643, local_density = 0.100000, u_x = 0.000000
index = 644, local_density = 0.100000, u_x = 0.000000
index = 645, local_density = 0.100000, u_x = 0.000000
index = 646, local_density = 0.100000, u_x = 0.000000
index = 647, local_density = 0.100000, u_x = 0.000000
index = 648, local_density = 0.100000, u_x = 0.000000
index = 649, local_density = 0.100000, u_x = 0.000000
index = 650, local_density = 0.100000, u_x = 0.000000
index = 651, local_density = 0.100000, u_x = 0.000000
index = 652, local_density = 0.100000, u_x = 0.000000
index = 653, local_density = 0.100000, u_x = 0.000000
index = 654, local_density = 0.100000, u_x = 0.000000
index = 655, local_density = 0.100000, u_x = 0.000000
index = 656, local_density = 0.100000, u_x = 0.000000
index = 657, local_density = 0.100000, u_x = 0.000000
index = 658, local_density = 0.100000, u_x = 0.000000
index = 659, local_density = 0.100000, u_x = 0.000000
index = 660, local_density = 0.100000, u_x = 0.000000
index = 661, local_density = 0.100000, u_x = 0.000000
index = 662, local_density = 0.100000, u_x = 0.000000
index = 663, local_density = 0.100000, u_x = 0.000000
index = 664, local_density = 0.100000, u_x = 0.000000
index = 665, local_density = 0.100000, u_x = 0.000000
index = 666, local_density = 0.100000, u_x = 0.000000
index = 667, local_density = 0.100000, u_x = 0.000000
index = 668, local_density = 0.100000, u_x = 0.000000
index = 669, local_density = 0.100000, u_x = 0.000000
index = 670, local_density = 0.100000, u_x = 0.000000
index = 671, local_density = 0.100000, u_x = 0.000000
index = 672, local_density = 0.100000, u_x = 0.000000
index = 673, local_density = 0.100000, u_x = 0.000000
index = 674, local_density = 0.100000, u_x = 0.000000
index = 675, local_density = 0.100000, u_x = 0.000000
index = 676, local_density = 0.100000, u_x = 0.000000
index = 677, local_density = 0.100000, u_x = 0.000000
index = 678, local_density = 0.100000, u_x = 0.000000
index = 679, local_density = 0.100000, u_x = 0.000000
index = 680, local_density = 0.100000, u_x = 0.000000
index = 681, local_density = 0.100000, u_x = 0.000000
index = 682, local_density = 0.100000, u_x = 0.000000
index = 683, local_density = 0.100000, u_x = 0.000000
index = 684, local_density = 0.100000, u_x = 0.000000
index = 685, local_density = 0.100000, u_x = 0.000000
index = 686, local_density = 0.100000, u_x = 0.000000
index = 687, local_density = 0.100000, u_x = 0.000000
index = 688, local_density = 0.100000, u_x = 0.000000
index = 689, local_density = 0.100000, u_x = 0.000000
index = 690, local_density = 0.100000, u_x = 0.000000
index = 691, local_density = 0.100000, u_x = 0.000000
index = 692, local_density = 0.100000, u_x = 0.000000
index = 693, local_density = 0.100000, u_x = 0.000000
index = 694, local_density = 0.100000, u_x = 0.000000
index = 695, local_density = 0.100000, u_x = 0.000000
index = 696, local_density = 0.100000, u_x = 0.000000
index = 697, local_density = 0.100000, u_x = 0.000000
index = 698, local_density = 0.100000, u_x = 0.000000
index = 699, local_density = 0.100000, u_x = 0.000000
index = 700, local_density = 0.100000, u_x = 0.000000
index = 701, local_density = 0.100000, u_x = 0.000000
index = 702, local_density = 0.100000, u_x = 0.000000
index = 703, local_density = 0.100000, u_x = 0.000000
index = 704, local_density = 0.100000, u_x = 0.000000
index = 705, local_density = 0.100000, u_x = 0.000000
index = 706, local_density = 0.100000, u_x = 0.000000
index = 707, local_density = 0.100000, u_x = 0.000000
index = 708, local_density = 0.100000, u_x = 0.000000
index = 709, local_density = 0.100000, u_x = 0.000000
index = 710, local_density = 0.100000, u_x = 0.000000
index = 711, local_density = 0.100000, u_x = 0.000000
index = 712, local_density = 0.100000, u_x = 0.000000
index = 713, local_density = 0.100000, u_x = 0.000000
index = 714, local_density = 0.100000, u_x = 0.000000
index = 715, local_density = 0.100000, u_x = 0.000000
index = 716, local_density = 0.100000, u_x = 0.000000
index = 717, local_density = 0.100000, u_x = 0.000000
index = 718, local_density = 0.100000, u_x = 0.000000
index = 719, local_density = 0.100000, u_x = 0.000000
index = 720, local_density = 0.100000, u_x = 0.000000
index = 721, local_density = 0.100000, u_x = 0.000000
index = 722, local_density = 0.100000, u_x = 0.000000
index = 723, local_density = 0.100000, u_x = 0.000000
index = 724, local_density = 0.100000, u_x = 0.000000
index = 725, local_density = 0.100000, u_x = 0.000000
index = 726, local_density = 0.100000, u_x = 0.000000
index = 727, local_density = 0.100000, u_x = 0.000000
index = 728, local_density = 0.100000, u_x = 0.000000
index = 729, local_density = 0.100000, u_x = 0.000000
index = 730, local_density = 0.100000, u_x = 0.000000
index = 731, local_density = 0.100000, u_x = 0.000000
index = 732, local_density = 0.100000, u_x = 0.000000
index = 733, local_density = 0.100000, u_x = 0.000000
index = 734, local_density = 0.100000, u_x = 0.000000
index = 735, local_density = 0.100000, u_x = 0.000000
index = 736, local_density = 0.100000, u_x = 0.000000
index = 737, local_density = 0.100000, u_x = 0.000000
index = 738, local_density = 0.100000, u_x = 0.000000
index = 739, local_density = 0.100000, u_x = 0.000000
index = 740, local_density = 0.100000, u_x = 0.000000
index = 741, local_density = 0.100000, u_x = 0.000000
index = 742, local_density = 0.100000, u_x = 0.000000
index = 743, local_density = 0.100000, u_x = 0.000000
index = 744, local_density = 0.100000, u_x = 0.000000
index = 745, local_density = 0.100000, u_x = 0.000000
index = 746, local_density = 0.100000, u_x = 0.000000
index = 747, local_density = 0.100000, u_x = 0.000000
index = 748, local_density = 0.100000, u_x = 0.000000
index = 749, local_density = 0.100000, u_x = 0.000000
index = 750, local_density = 0.100000, u_x = 0.000000
index = 751, local_density = 0.100000, u_x = 0.000000
index = 752, local_density = 0.100000, u_x = 0.000000
index = 753, local_density = 0.100000, u_x = 0.000000
index = 754, local_density = 0.100000, u_x = 0.000000
index = 755, local_density = 0.100000, u_x = 0.000000
index = 756, local_density = 0.100000, u_x = 0.000000
index = 757, local_density = 0.100000, u_x = 0.000000
index = 758, local_density = 0.100000, u_x = 0.000000
index = 759, local_density = 0.100000, u_x = 0.000000
index = 760, local_density = 0.100000, u_x = 0.000000
index = 761, local_density = 0.100000, u_x = 0.000000
index = 762, local_density = 0.100000, u_x = 0.000000
index = 763, local_density = 0.100000, u_x = 0.000000
index = 764, local_density = 0.100000, u_x = 0.000000
index = 765, local_density = 0.100000, u_x = 0.000000
index = 766, local_density = 0.100000, u_x = 0.000000
index = 767, local_density = 0.100000, u_x = 0.000000
index = 768, local_density = 0.100000, u_x = 0.000000
index = 769, local_density = 0.100000, u_x = 0.000000
index = 770, local_density = 0.100000, u_x = 0.000000
index = 771, local_density = 0.100000, u_x = 0.000000
index = 772, local_density = 0.100000, u_x = 0.000000
index = 773, local_density = 0.100000, u_x = 0.000000
index = 774, local_density = 0.100000, u_x = 0.000000
index = 775, local_density = 0.100000, u_x = 0.000000
index = 776, local_density = 0.100000, u_x = 0.000000
index = 777, local_density = 0.100000, u_x = 0.000000
index = 778, local_density = 0.100000, u_x = 0.000000
index = 779, local_density = 0.100000, u_x = 0.000000
index = 780, local_density = 0.100000, u_x = 0.000000
index = 781, local_density = 0.100000, u_x = 0.000000
index = 782, local_density = 0.100000, u_x = 0.000000
index = 783, local_density = 0.100000, u_x = 0.000000
index = 784, local_density = 0.100000, u_x = 0.000000
index = 785, local_density = 0.100000, u_x = 0.000000
index = 786, local_density = 0.100000, u_x = 0.000000
index = 787, local_density = 0.100000, u_x = 0.000000
index = 788, local_density = 0.100000, u_x = 0.000000
index = 789, local_density = 0.100000, u_x = 0.000000
index = 790, local_density = 0.100000, u_x = 0.000000
index = 791, local_density = 0.100000, u_x = 0.000000
index = 792, local_density = 0.100000, u_x = 0.000000
index = 793, local_density = 0.100000, u_x = 0.000000
index = 794, local_density = 0.100000, u_x = 0.000000
index = 795, local_density = 0.100000, u_x = 0.000000
index = 796, local_density = 0.100000, u_x = 0.000000
index = 797, local_density = 0.100000, u_x = 0.000000
index = 798, local_density = 0.100000, u_x = 0.000000
index = 799, local_density = 0.100000, u_x = 0.000000
index = 800, local_density = 0.100000, u_x = 0.000000
index = 801, local_density = 0.100000, u_x = 0.000000
index = 802, local_density = 0.100000, u_x = 0.000000
index = 803, local_density = 0.100000, u_x = 0.000000
index = 804, local_density = 0.100000, u_x = 0.000000
